Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,20MA,50MA,Volatility,Year
2020-01-02,AAPL,74.0599975585938,75.1500015258789,73.7975006103516,75.0875015258789,135480400,,,,,2020
2020-01-03,AAPL,74.2874984741211,75.1449966430664,74.125,74.3574981689453,146322800,-0.972203551987938,,,,2020
2020-01-06,AAPL,73.4475021362305,74.9899978637695,73.1875,74.9499969482422,118387200,0.796824521920669,,,,2020
2020-01-07,AAPL,74.9599990844727,75.2249984741211,74.370002746582,74.5975036621094,108872000,-0.470304603716309,,,,2020
2020-01-08,AAPL,74.2900009155273,76.1100006103516,74.2900009155273,75.7975006103516,132079200,1.60862882714896,,,,2020
2020-01-09,AAPL,76.8099975585938,77.6074981689453,76.5500030517578,77.4075012207031,170108400,2.12408139765454,,,,2020
2020-01-10,AAPL,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,140644800,0.226070367346365,,,,2020
2020-01-13,AAPL,77.9100036621094,79.2675018310547,77.7874984741211,79.2399978637695,121532000,2.13643707333728,,,,2020
2020-01-14,AAPL,79.1750030517578,79.3925018310547,78.0425033569336,78.1699981689453,161954400,-1.35032776838759,,,,2020
2020-01-15,AAPL,77.9625015258789,78.875,77.3874969482422,77.8349990844727,121923600,-0.428551992221671,,,,2020
2020-01-16,AAPL,78.3974990844727,78.9250030517578,78.0224990844727,78.8099975585938,108829200,1.25264789052408,,,,2020
2020-01-17,AAPL,79.067497253418,79.6849975585938,78.75,79.682502746582,137816400,1.1070996257037,,,,2020
2020-01-21,AAPL,79.2975006103516,79.754997253418,79,79.1425018310547,110843200,-0.677690706132483,,,,2020
2020-01-22,AAPL,79.6449966430664,79.9974975585938,79.3274993896484,79.4250030517578,101832400,0.356952603426897,,,,2020
2020-01-23,AAPL,79.4800033569336,79.8899993896484,78.9124984741211,79.807502746582,104472000,0.481585999530854,,,,2020
2020-01-24,AAPL,80.0625,80.8324966430664,79.379997253418,79.5774993896484,146537600,-0.28819766189645,,,,2020
2020-01-27,AAPL,77.5149993896484,77.942497253418,76.2200012207031,77.2375030517578,161940000,-2.94052509294482,,,,2020
2020-01-28,AAPL,78.1500015258789,79.5999984741211,78.0475006103516,79.4225006103516,162234000,2.8289334484694,,,,2020
2020-01-29,AAPL,81.1125030517578,81.9625015258789,80.3450012207031,81.0849990844727,216229200,2.0932336067802,,,,2020
2020-01-30,AAPL,80.1350021362305,81.0224990844727,79.6875,80.9674987792969,126743200,-0.144910040701085,78.0091251373291,,,2020
2020-01-31,AAPL,80.2324981689453,80.6699981689453,77.0725021362305,77.3775024414063,199588400,-4.43387333438114,78.1236251831055,,1.76791037538897,2020
2020-02-03,AAPL,76.0749969482422,78.3724975585938,75.5550003051758,77.1650009155273,173788400,-0.274629600560994,78.2640003204346,,1.75108889882509,2020
2020-02-04,AAPL,78.8274993896484,79.9100036621094,78.4075012207031,79.7125015258789,136616400,3.30136795195573,78.5021255493164,,1.88075724322014,2020
2020-02-05,AAPL,80.879997253418,81.1900024414063,79.7375030517578,80.3625030517578,118826800,0.815432351809808,78.7903755187988,,1.87408973925985,2020
2020-02-06,AAPL,80.6425018310547,81.3050003051758,80.0650024414063,81.3024978637695,105425600,1.16969329763945,79.0656253814697,,1.86159231766505,2020
2020-02-07,AAPL,80.5924987792969,80.8499984741211,79.5,80.0074996948242,117684000,-1.59281473874913,79.1956253051758,,1.86255735418089,2020
2020-02-10,AAPL,78.5449981689453,80.3874969482422,78.4625015258789,80.3874969482422,109348800,0.474952041830345,79.3358753204346,,1.86369908188629,2020
2020-02-11,AAPL,80.9000015258789,80.9749984741211,79.6774978637695,79.9024963378906,94323200,-0.603328413949533,79.3690002441406,,1.81344878319362,2020
2020-02-12,AAPL,80.3675003051758,81.8050003051758,80.3675003051758,81.8000030517578,113730400,2.37477776143944,79.5505004882812,,1.85214539951951,2020
2020-02-13,AAPL,81.0475006103516,81.5550003051758,80.8375015258789,81.2174987792969,94747600,-0.712107885976931,79.7196254730225,,1.85863535817827,2020
2020-02-14,AAPL,81.1849975585938,81.495002746582,80.7125015258789,81.2375030517578,80113600,0.0246304955971332,79.8410007476807,,1.8432743896905,2020
2020-02-18,AAPL,78.8399963378906,79.9375,78.6524963378906,79.75,152531200,-1.83105461871483,79.8443756103516,,1.88118654740401,2020
2020-02-19,AAPL,80,81.1425018310547,80,80.9049987792969,93984000,1.44827433140673,79.9325004577637,,1.89959600377079,2020
2020-02-20,AAPL,80.6575012207031,81.1624984741211,79.5524978637695,80.0749969482422,100566000,-1.02589684639743,79.9650001525879,,1.9158985034998,2020
2020-02-21,AAPL,79.6549987792969,80.1125030517578,77.625,78.2624969482422,129554000,-2.26350305223432,79.8877498626709,,1.98119277846185,2020
